,text,topic
6731,"just ask paul vitti ( robert deniro ) , a man who finds his job as mafia head to be rather stress inducing .",movie
57186,woods plays a particular sort of cool lowlife very well .,movie
53282,the setting is the florida coast during the mid-70s .,movie
19563,ed is tied to a tree while bobby is sodomized by one of the men .,movie
45760,"worse , actually .",movie
30700,"the story is the most recognizable , so the draw here is seeing it on the enormous imax screen in remastered stereo .",movie
63306,"what does it represent ? """,movie
34542,"tenley , a name only a hack screenwriter could invent , is unlike her snobbish counterparts and falls for ryan .",movie
52230,a sequence like this should take 2 minutes .,movie
62165,his intention is obviously world domination .,movie
11012,"the thing i like about american beauty is that there is no sentimental music , no hospital scene nor any overly dramatic hokum .",movie
22980,revell does a good job at providing appropriate music to punctuate key scenes and allowing the score to enhance the movie as a whole .,movie
15754,these points and the sometimes ironic dialogue make this film an anti-war film ( despite the inconsistencies in the treatment of this theme ) .,movie
17707,feeling that creeps up all too often during the film .,movie
52098,this enlightenment just doesn't prepare him for the mining assignment .,movie
64518,"schwimmer is also funny , and manages to milk all of his scenes for whatever he can get . ?",movie
64604,"the dog days of summer usually produce one monstrous dog , and "" stigmata "" is it .",movie
29698,"later , as a young man , he meets luther , another g . i .",movie
49152,vegas vacation differs from the first three in the series by more than just laugh factor .,movie
22962,"it provides a very possible hypothesis that violent activity on the part of a few arabs would escalate into a series of hate crimes against the arab-american population , and that in an effort to find the terrorists , the civil liberties of the minority may be violated by the government itself .",movie
8163,i did not laugh much during the film because i was so emotionally wrapped up with the character .,movie
51446,"there's always one on which everyone else in the family relies , freeing the others to be selfish and emotionally distant .",movie
48305,"but oh how we love bright , articulate , self-sacrificing children who pick adults up by their bootstraps and guide them through life .",movie
59787,"reese witherspoon's abundant acting talents are used to their full potential in fear , a great thriller .",movie
41010,"the whole while , evil captain coburn is overacting underwater , cursing grammer ( as most people watching the movie probably are too ) .",movie
53716,"either way , it was an awful lot of work to go through , just to come up with a final product as featherbrained as this project .",movie
33239,"big john feels the love that dares not speak its name , but he expresses it through seeking out adolescents and bringing them back to his pad .",movie
8701,"you know ) , becomes deeply involved in the russian mafia and the fbi ( almost the same thing , i guess ) , and is killed in france ( in the movie , things happen so fast that you don't have too much time to think about how weird this all is ) .",movie
11770,it does reward the patient viewer .,movie
4655,but it doesn't take the film long to spring into action and within minutes our hero jedi are fighting for their lives and the film's story begins to move along .,movie
31408,"the calendar year has not even reached its midway point , but that hasn't prevented columbia pictures from trotting out a lavish period drama more befitting of the winter oscar-bait season .",movie
44710,two days isn't a bad movie but there isn't much else to it than the screenplay novelty of the linkage of seemingly unrelated characters .,movie
2447,but that's only because the film had already earned a poignancy without resorting to cheap tactics .,movie
31489,he rolls his sleeves up and does the job well here .,movie
47335,"kids , don't try this at home .",movie
13293,this femme-butch-femme triangle is what provides the film with considerable humanity * and * sensuality .,movie
15642,"despite these minor missteps , "" leila "" is an important motion picture that should definately be sought out upon its limited may 16 release at new york's cinema village , and then on may 21 in la .",movie
23759,"it's hard not to recommend "" the others . """,movie
33252,"concurrently , the relationship between howie and big john is evenly paced and exceptionally well acted .",movie
56049,the whole point here is how could a man be so blatantly forgetful .,movie
28382,"the conflicts she must overcome range from taking care of her entire family to finding a proper husband , especially after she is "" marked "" for life when her first husband dies .",movie
25838,"of course , all of this would add up to little more than an above-average light show , if i didn't get the feeling that bay cares as much about his characters as he does about his action .",movie
61032,some bit part was done especially well or some scene managed to be funny even if the rest of the picture wasn't .,movie
18156,suspicion and questions begin to mount .,movie
3261,"meanwhile , jeffrey , who is captivated by older women , runs into phyllis in a hotel bar , is smitten , and invites her to accompany him on a weekend retreat to the mountains .",movie
16884,"i can't get over how much i love this movie , and how much you will , after watching it , digesting it , and sitting with your family , appreciating how special life really is .",movie
56224,&nbsp ; 2 . &nbsp ;,movie
56675,witty banter and an underplayed sexual tension were a winning combination .,movie
26731,"hoke is uneducated and illiterate , but freeman always suggests that there is something more to this man , an inner strength beneath the simpleton exterior .",movie
27334,a bathroom incident involving finch and a bottle of ex-lax is something we've seen before .,movie
45089,but it's far from profound .,movie
43449,"however , i can express the most important observation i made of it , i . e .",movie
47418,it's all way too much for him .,movie
48928,"it has some effects , but the most intriguing effect he shows only as an outline on a radar screen .",movie
43820,"the writer seemed to be attempting to make a smart action movie , but failed to understand that just because there are surprises , it doesn't add too the credibility of a senseless script .",movie
10968,"steve zahn gives a hilarious performance , and steals nearly every scene he's in .",movie
33669,"it's as if the film ran out of the guts to be really complex and original about a third of the way in , and decided to just fall back on an easy way out , and that just happens to mean that it has to become less and less credible .",movie
61518,life's only redeeming virtue is the artistry of makeup legend rick baker who flawlessly ages murphy and lawrence into 90 year olds .,movie
44624,"for each nifty trick tsui pulls off , such as a recurring visual theme that has the camera literally going through the circuitry of electronic devices , there are others that are completely superfluous .",movie
46699,"because while he possesses the stupidness needed to pull off such a role , his performance is too understated and boring .",movie
38883,"in any event , 54 is pallid without the contrast .",movie
21768,"when i finally went to see it ( on opening day , as i tend to do with most disney animated features ) , my question was answered , in a complete turnabout of expectations for me : disney's tarzan is surprisingly decent .",movie
56455,"if i was to base my review totally on the plot then i wouldn't rate this movie too highly but that's just the thing this movie isn't just the plot , its the whole package and this package is really well done .",movie
18680,"for a movie about disco-era excess , "" 54 "" comes up surprisingly short on the sleazy happenings at the titular late 1970s and early 1980s manhattan dance club .",movie
33148,"nine months is a complete failure , low on laughs and intelligence and high on loud , unfunny slapstick , failed jokes and other uninspired lunacy .",movie
11989,"pulp fiction is definitely one of the best films of the decade , and possibly of all-time .",movie
3837,this dude didn't seem to give a rat's ass about anyone but himself and i ultimately didn't really care about what happened to him either .,movie
9472,chutes and ladders : the motion picture ? ) is filled with slapstick antics and silly dialogue .,movie
56916,the bottom line- bring on the phantom menace 20th century fox !,movie
34335,the supporting cast is also painfully useless .,movie
29157,it's a good thing scott stops this after the first twenty minutes or else gladiator would have been torture to watch .,movie
59813,"despite its limited appeal , blade squad has a lot of kinks to work out if the movie is to become a tv series .",movie
35108,"trouble is , sally picked up some interference on her drive-thru headset , and angus worries she may have heard conversations that took place in the helicopter prior to the accidental killing .",movie
61411,but marveling at that ingenuity is a far cry from actually enjoying the result .,movie
62731,"the undisputed leader of the harlem numbers is the madame queen ( cicely tyson ) who is challenged by dutch schulz ( tim roth ) , a ruthless hoodlum .",movie
51465,"this is the same problem he had in "" jingle all the way "" , and it seems that his austrian accent is getting thicker and more unintelligible as the days pass .",movie
27392,"there's a bit too much generic formulaism in the screenplay for my taste , from the various characters spouting off country bumpkinisms , to the familiar sight of a dried-up uptight wise old granny ( played by grace zabriskie ) sitting on the porch rocking chair , to impassioned soliloquies better suited for a stage performance .",movie
64003,"key word here : "" supposed . """,movie
43304,"you've seen the tv spots , haven't you ?",movie
59025,"some gags are just plain pointless , such as roger moore's recurring role as the mysterious chief , who dispenses cryptic , metaphor-heavy advice to clifford .",movie
13550,"the mask features a wacky superhero with off the wall antics , which the casting and cg effects reflect .",movie
51150,on the mediocre side are actually those playing the two central characters : matthew perry and bruce willis .,movie
54555,"as the audience was filing out of the screening , i loitered in the theater lobby to catch a few comments .",movie
27512,"while it is mr . hanks "" everyman "" performance at the center of the film which gives it the anchor to hold our interest for 180 minutes , it is the performances of his supporting cast that are most worth noting .",movie
60823,"( in addition , the film takes a bite into race-related issues , and never develops them at all . )",movie
15627,"it is this relationship that is the key ingredient to making what follows the opening scenes all the more powerful , and director mehrjui has succeeded just about as well as possible .",movie
19852,"silly , but riotous at times , this is an excellent movie even better than the original .",movie
23086,"i guess i was hoping for a bit more regarding the whole impervious to pain aspect of his character , but the writers decided to play up the emotional side of his character .",movie
18867,you can now sign me up as president of the robert mitchum fan club .,movie
40856,"when he sneaks on her tv show set and tries to woo her with his musical group and him singing corny love songs to her , the ratings go up and he's hired as a regular on the show .",movie
7292,"on my four-star scale , i give dolores claiborne three stars .",movie
40623,"this all could have been enthralling , but it is not the sort of thing that a stylist like michael mann would be likely to do well .",movie
39292,in 1968 chambers makeup was a jaw-dropper .,movie
62254,i asked .,movie
11783,"but of all the experiences that i collected throughout those tender years , i can honestly say that the toughest and the scariest thing that i had to cope with was my raging hormones and my crazed curiosity about girls and sex .",movie
15539,"without furnishing too many details , he concocts his story and lets it run , hoping the audience gets it at the end .",movie
39166,"when long decides to investigate , there's nothing but trouble .",movie
33084,"instead of facing hoodlums with automatic weapons the police face , well , ghosts of mars .",movie
53712,""" no , i da snowman , "" replies jack .",movie
4134,"roth is ferocious , cunning , cruel and savage as the fascist chimp who wants to rid his planet of all vestiges of humanity .",movie
59808,"i'd imagine adolescent males , probably the target audience of this turkey , would get a kick out of it .",movie
56995,the few times that i laughed in austin powers were completely offset by the time i spent cringing and wanting out .,movie
30368,""" kundun "" features only native actors and is more of an insider's story .",movie
12497,"from hank's reports which state his opposition to the army's methods of testing , he is transferred from hawaii to alabama .",movie
15585,that same lie has been perpetuated ad infinitum throughout the ages .,movie
56318,you begin to identify with coach d'amato and the morals he is striving for . . . .,movie
34917,"and bedazzled -- need i say more ? ) is a roast of hollywood and celebrity , sure , but it's not a funny one .",movie
13058,"but the stories they tell are uplifting , containing nothing too frightening for our younger children .",movie
27113,"none of the conversations are laughable , and all move the plot forward without seeming forced .",movie
9763,"the costumes look great , the sets look great , the cgi graphics look great .",movie
37057,"every year , a couple films like this are released .",movie
27357,"luckily brooks could clean up the mess , and cover for stone's mishap .",movie
5064,note : some may consider portions of the following text to be spoilers .,movie
7071,"the film is set in toronto , and follows several people in their various escapades on the last night of existence .",movie
15072,"someone doesn't merely make a film of all style and no substance at all , and if they do , they do it by accident , but still allow some substance to creep in .",movie
63852,to say that his performance is workman-like is to be generous .,movie
57157,i know that there's such a good thing as good action - he's called john woo .,movie
1203,a lot of hype has been surrounding this film due to the fact that it comes to us from the same team that brought us trainspotting .,movie
27460,they can be excused for the two or three shwarzenegger-like catch phrases that growl their way out of diesel's mouth .,movie
38114,not that contributing little to the plot is a big problem .,movie
16854,"but watching it's a wonderful life is never boring or difficult : it's always interesting , right until the finale , which , for all its sugar , makes delightful sense and is beautifully done .",movie
24178,but the driving force behind the plot is 17 year old eddie adams .,movie
43194,how about explaining every other plot point in your film that made no sense ?,movie
7458,an opening prologue in shall we dance ?,movie
56151,"outlining the plot of the x-files movie is virtually impossible , since to be general would result in confusion , yet to be specific would give too much away .",movie
38332,"he is trying to cast one actress for his new film and is getting pressure from the producers and from crime figures to cast someone else , cammie rhodes ( melissa george ) .",movie
1765,"many things are explained throughout this film , both to the characters and to the audience .",movie
11275,oldman has become typecast as a psychotic sadist and no wonder -- he does it so well .,movie
27216,"perhaps one of the best things about this film , is its naturalness .",movie
40962,don't hesitate .,movie
59676,"the action scenes are just as bland , since they're pretty much just rehashes of action elements that weren't particularly entertaining the first time around .",movie
15256,"fanny has fallen in love with her cousin edmund ( jonny lee miller , plunkett & macleane ) who appears fond of her as well .",movie
3114,"director curtis hanson ( "" l . a .",movie
61329,how do we know kim is an antisocial goth girl ?,movie
17963,"although both films have a lot in common ( ground-breaking special effects , brilliant score by john williams ) their future was different ; one became an unstoppable cult phenomenon , and another almost forgotten and stuck forever in its shadow .",movie
21585,what's eating gilbert grape ?,movie
2463,blade has spent his life hunting down and killing vampires as a sort of revenge for the fact that one of their kind killed his mother .,movie
19937,"imagine pulp fiction approach to saving private ryan , thats three kings for you .",movie
52149,"the character in question , dana ( angela zimmely ) , has her turn up to be killed and is standing at the front of a movie theater in which the presence is seated .",movie
62709,"as for avital , an israeli actress , she is warm and sweet , but we don't know anything about her character other than that it takes her an incredibly long time to realize the most obvious things .",movie
5367,"but when you're waking up from your dream , the real world seems worthless and unreal and all you can think off is returning to your personal paradise .",movie
42215,"instead , we get impressively choreographed but somehow vacuous , uninvolving action sequences that emerge from emptiness and lead to nothing .",movie
23477,"aside from stephens , nicole is the most complex character in the film , and it is she who ultimately decides the fate of the town and how the lawsuit will turn out .",movie
35842,a tragic waste of talent and incredible visual effects .,movie
5745,"yet , he must reach his goal of $50 million , which requires him to steal the energy formula , putting his feelings aside .",movie
37080,"the worst part is the little past they try to give declan , most notably his relationship with an old girlfriend , isabella ( mathilda may ) , given so little screen time that you almost forget her character exists until she pops up every now and then .",movie
10250,"and so , as a critic , i'm already responsible to ask that same question .",movie
42350,but the ilm special effects can't save the movie .,movie
35917,"rip torn , what were you thinking ?",movie
8517,"as the buffoonish duke , richard roxburgh proves to be the film's weakest link , although i'm sure he was simply following instructions .",movie
22149,"he also examines the consequences of the malko-visits to craig , lotte , maxine and , of course , john malkovich himself .",movie
62590,"you will get 90-plus minutes of martin lawrence in a fat suit and a dress -- nothing more , nothing less .",movie
29975,yum !,movie
5470,""" live flesh "" begins and ends with a live birth and the film's contradictions come almost as often as the contractions .",movie
30102,"both gene hackman and isabella rosselini appear and disappear like magic , while late entries catherine o'hara and jobeth williams are surprisingly solid .",movie
13861,"it's a serial killer mystery , but you don't care so much about making the killer pay as much as hope they just catch the killer .",movie
48003,"if this is "" 200 cigarettes , "" then get me 200 nicotine patches .",movie
59357,"jeez , i thought no one fell for those "" you may already be a winner "" things anymore .",movie
28406,"gable and leigh do have great chemistry , always leaving the viewer wondering which emotions were authentic and which were manufacture .",movie
8785,"thankfully , those aren't the exact words .",movie
9837,"anyway , when i answered "" john cusack "" , she replied with a rather stunned "" who ? "" , as if it was unreasonable for her to know whom i was referring to .",movie
19557,the group's first objective is to find someone ( s ) to drive their cars down the river to the point where they will end their trip .,movie
4501,"by the time she is beating someone to death with a coat hanger , and reciting lines like , "" stuff him in the crapper and get your ass upstairs , "" i couldn't help but crack up at how "" balls-to-the-wall "" this film had become .",movie
43753,"the cinematography has a comic book red/blue emphasis , which is nice to look at , but the suspense sequences are all telegraphed and this movie even features the old "" killer who talks too much before shooting thus giving the victim time to think of an escape "" trick .",movie
53393,and if i get no respect for disliking a movie with all the synthetic feeling of a trailer-a trailer for a movie written by a team of body-builders and greeting card authors-i've never been a prouder wimp my whole life .,movie
7991,"the only problem with "" slacker "" is that it starts to run out of steam towards the end .",movie
63239,"the plot , such as it is , can be summed up rather simply .",movie
24653,"trash tabloid reporter gale weathers ( courteney cox ) has written a best-seller based on their ordeal , the basis of which has been turned into a ( very bad ) movie called "" stab . """,movie
60369,why a suicidal colonel ?,movie
44185,"it is hip , sharp , nifty , and has nice little pieces of suspense and comedy .",movie
57885,5 : the comedy is not funny .,movie
2738,"set in sarajevo 1992 and based on actual events , this picture examines the human and societal casualties of war .",movie
765,"wealth , influence and privileges of men connected with mafia are enough for henry hill to seduce his future wife karen ( played by lorraine bracco ) , who would afterwards remain loyal to her husband despite infidelities , domestic abuse , arrests and would even be accomplice to his own private drug dealing business .",movie
52436,"it's sad , because he almost actually had some decent material here , but he ruined it with his usual in your face "" i'm such a renegade maverick filmmaker , look what i can do "" attitude .",movie
10670,"? in order to through a semblence of plot into the film , there is an evil tabloid publisher played by barry humphries , better known to americans , for about 15 minutes , as dame edna ( remember her ? )",movie
6447,"and yes , i did see mimic , which is something i'll touch on in a later review .",movie
7857,"little kids shouldn't see this , as they may just try and copy it .",movie
12769,"i highly recommend both of them , and consider them to be the two best war movies ever made .",movie
54139,"girard , for some unknown reason , uses mostly master shots , keeping his camera - and thus us - at a distance .",movie
17554,"she has the kind of exquisite classical beauty that would be treasured in a courtesan ; her character is intelligent , witty , and both sensual and vulnerable , all of which mccormack easily transmits with a single flash of her eyes .",movie
58851,"while he and his partner ( played by keenen ivory wayans ) are investigating a series of ritual killings , cole himself becomes a suspect , especially when a background check run by campbell reveals practically nothing on cole .",movie
37728,"critics were proclaiming it "" hilarious "" and a "" dead-on parody of mob movies "" .",movie
18239,joe believes his broncobuster getup is emblematic of his masculinity ; new yorkers see his ensemble as camp and `faggot stuff . ',movie
36140,"t ? a leoni ( bad boys , tv's "" the naked truth "" ) is the best of the film , and she is given the meatiest role .",movie
30598,"so even if you don't win one of mcdonald's free tickets , it's still definitely worth checking out .",movie
38327,betty is a little surprised to find a woman sleeping in the borrowed bungalow .,movie
61671,the script for the jackal isn't ripped straight from today's headlines .,movie
24446,"once the dude realizes this coincidence , he visits the big lebowski in hopes to claim reparations for his soiled rug , and is back to his normal life with alley pals walter ( john goodman ) , a hotheaded vietnam vet , and donny ( buscemi ) , a mild-mannered surfer , before too long .",movie
13255,"to most guys , he will come across as artificial .",movie
35957,"in the end , it's cringeworthy .",movie
16988,there is no suggestion of sexuality in the relationship ; ilona and lauri sleep in separate beds and their gestures of affection lack the heat of desire ; their lives are now bound by something more complex and desperate than love .,movie
5641,you know they would .,movie
54338,"it all looks brand new , even the old beat-up stuff .",movie
16569,the modernisation of the script is ingenious and clever .,movie
57141,"he even shows him hanging with his son , checking up on his homework , and then about to take him out for a bit of "" catch , "" when he's conveniently called away on assignment .",movie
16742,"prior to heaven , he would try to comfort annie , but the more he was around , the more pain she felt .",movie
19841,"and if you've ever wondered why there's always boxes of watermelons , chickens , and people walking plate glass in the middle of streets , you'll find out here .",movie
13632,the cinematography is very well done by guillermo navarro ( who has worked with tarantino on previous films ) and the editing is very good .,movie
44937,the driven young director ( scott foley ) ?,movie
19590,"after they arrive at their hotel , it is just them and the staff on the island .",movie
5949,great films are beyond rare .,movie
59717,"modine lacks any charm in an appallingly under-written role , looks bored most of the time , and gets stuck with a trite little speech about how it's all his father's fault he's such a cad .",movie
21350,"i have always been a sucker for this kind of monster movies , and i always seem to be the only critic who really likes them .",movie
48913,the most profitable film adaptation of any novel was an adaptation of a michael crichton science fiction novel .,movie
46342,"when paul asks harry why he stayed , he says with grim determination , "" cause this town's in trouble and i'm the best man you've got . """,movie
37863,""" batman and robin "" has far more in common with the campy 60's batman tv show than with tim burton's tale of darkness .",movie
4329,"just like in "" star wars : episode 1--the phantom menace "" stuart little and his family are all computer generated and they look fantastically real .",movie
59402,"as gloria , sharon stone has adopted an over-the-top brooklyn accent that honestly doesn't sound realistic at all .",movie
2542,"gunfire ensues , and when it's all over , the detectives want to learn more about this freighter by questioning a chinatown crime lord .",movie
50423,throw in the fact that i don't think nick and kate spent enough time together to even warrant that rash of a decision .,movie
19013,"charles hawtrey plays an 'out-of-character' role as dr . stoppidge , the nasty and evil practitioner who wants to knock nookey off his perch .",movie
42366,"yet , i must report disappointment .",movie
11090,"she knows what to answer when he asks her horror film questions , she just can't answer his final question , "" what door am i at ? """,movie
20995,"the theory in this film is based on the graphic novel "" from hell "" written by alan moore and presents a compelling story , which despite being a little oliver stone-ish , did manage to tie up all of its loose ends quite nicely , and present us with an entertaining bowl of mayhem , sexual depravity , drug usage , insanity , murders and love ?",movie
32233,i left learning an important lesson about racism and the way things change .,movie
46923,"and albert the angel ( played by miscast cuba gooding , jr . ) says bluntly : "" that+s fantasy . """,movie
41406,ivey eddie barzoon . . . . . . . . . . . . . . . jeffrey jones christabella . . . . . . . . . . . . . . . . . . connie,movie
7052,"much press has been given about the casting of blaxploitation-era icon pam grier in the lead , with the wags buzzing that mr . tarantino may do for her what his pulp fiction did to bolster john travolta's then-sagging career .",movie
4809,"this is post-wwii brooklyn noir , for lack of a better label , with a generous injection of rock 'n roll and an all-around confrontational attitude .",movie
60269,"later , a bomb goes off in a broadway theater , killing even more .",movie
46416,"this is the biggest problem : the movie isn't about jackson's character , or his dilemma , or this case , or any of its ( frequently interesting despite the porcine writing and direction ) characters .",movie
45718,"the idea was a decent one , but the main potential of this movie is a result of the cast .",movie
11403,he is exactly the man you would want at your wedding .,movie
11354,the contrast between the two friends is interesting to watch .,movie
55051,"the characters presented are so annoying and pathetic , that it is hard to cheer for them or scream them .",movie
60193,"this causes the gang leader to send his boys out to get the gay guys , one of whom may not actually be gay .",movie
41405,theron mrs . lomax . . . . . . . . . . . . . . . . . . judith,movie
45672,"parts of this are actually so absurd , that they would fit right in with dogma .",movie
21253,"true , humanizing touches are put into paul winfield's and lance henriksen's detective characters , but the terminator is also able to move through the city undetected .",movie
26086,"the third would-be thief , unarmed , is only wounded .",movie
4182,"you have seen it all before , but perhaps not from india .",movie
8425,"but that's the word that came to me right after viewing "" chicken run . """,movie
47892,sound exciting ?,movie
54020,they'll probably end up asking more questions than charlie rose .,movie
25415,this is where the political intrigues of high office are replaced by exciting action .,movie
44952,"craven and company promise that this is the last installment in the "" scream "" series .",movie
61240,"later on , the movie can't seem to decide whether these powers come from this fairy godfather or from amanda falling in with tom .",movie
39543,and then it goes nowhere .,movie
7036,"she's 44 years old , stuck at a dead-end job ( "" $16 , 000 a year , plus retirement benefits that aren't worth a damn "" ) as a flight attendant for the worst airline in north america -- and she's just been caught at the airport by atf agent ray nicolette ( portrayed with terrific childlike enthusiasm by michael keaton ) and police officer mark dargus ( michael bowen ) smuggling $50 000 from mexico for gun-runner ordell robbie ( samuel l . jackson ) , who has her bailed out by unassuming bail bondsman max cherry ( robert forster ) .",movie
2511,"also , there's some funny gags involving product placement and the people who watch the show .",movie
34496,( the movie itself knows no bounds as it contains one of the most putrid and lengthy vomiting scenes ever . ),movie
46693,"you know , standard kid movie material .",movie
60757,"so far , so mediocre .",movie
18774,this movie isn't anything special though .,movie
39204,"it's a slobbering psychopath , of course , but this time there's a twist .",movie
26486,"from this synopsis , contact does not sound too different to most films about alien contact , but there is a whole lot more to this intelligent film than the sci-fi hook .",movie
53251,"this is not a problem , provided that the movie boasts the rapid-fire hilarity and unexpectedly true sentiment of the original .",movie
7117,"and a rainstorm is like a giant flood , with each drop acting like a small bomb dropped at millions of miles per hour .",movie
52940,do they land and immediately get into the fighting ?,movie
8630,"and that , my friends , should make you very afraid .",movie
32177,"all of this winds down to a fairly unpredictable ( and unsettling ) conclusion , one which requires leaps of faith from its audience yet is more satisfying than the source material's excessive climax .",movie
26383,"i can't be as charitable for danes , however ; though i know she is a talented actress , here she tends to overact when it might have been better to underplay the character a bit .",movie
36217,"if you're looking for a film about computers closer to what goes on in the real world , i suggest sneakers .",movie
2910,i always picture these guys getting together and producing a movie between arm-wrestling matches .,movie
46201,"as the villainous icon cruella devil , she tears up the screen in a deliciously over-the-top performance .",movie
20814,"this is religion , this is authoritarianism in its essence .",movie
21823,"we're the fans , not the freaks .",movie
23498,"when i first heard this description , i figured that it was an easy way out of making a bad movie .",movie
64636,"just looking at connery is enough to give one the giggles - he spends most of the film running around in a red loin cloth that resembles a diaper , a mane of hair braided halfway down his back , a wyatt earp-style handlebar mustache , and a pair of thigh-high patent leather boots that would look more appropriate on a cheap hollywood hooker .",movie
23414,"with the exception of what i have already revealed ( which all happens in the first thirty minutes or so , by the way ) , there isn't too much of a story to it .",movie
34907,"america's sweethearts is the opposite of reality , a train wreck that tries to sell julia as a scruffy also-ran , presumably because she wears horn-rimmed glasses and used to be overweight ( uh-huh ) .",movie
6910,i went in with the expectation of a film with the similar flavor which made the original such a success : personal growth and insightful humor about life .,movie
13454,cinematographer bill butler is given an opportunity to use unconventional camera work to liven up deceiver's look .,movie
41969,this is already a problem .,movie
42413,"for good measure , throw in a poorly motivated prison riot and have affleck's best buddy stabbed . . .",movie
18572,"the screenplay by harris goldberg and rob schneider himself is a smart , clever and witty screenplay that seems to have been written with care to make is so hilariously funny .",movie
11942,"these include attempting a suicide run across an 8-lane freeway , and one of the `hot' scenes involving supporting actress daisy ( heather graham ) removing her blouse .",movie
57977,"somewhere along the line , mctiernan bailed and michael crichton took over .",movie
45543,"gavin suspects there's something awry with the preppie kids , known as the blue ribbons , and in the tradition of all conspirators , and even when he actually shows hard pure evidence to steve , he's only treated as a typical raving conspiracy buff .",movie
